Reservation-id,Reservation_Status
62931593,1
70586099,3
4230648,1
25192322,3
80931528,1
64700386,1
16938050,1
90487908,1
5595445,1
17502557,1
92229895,3
27386334,1
76765181,2
40697301,2
63963888,1
27282946,1
8696141,1
52621292,2
21821230,1
12316731,3
93926052,1
5935873,1
56971851,1
72701445,1
27017349,1
60891446,1
27044174,1
88238517,1
61900789,3
64883577,3
55378041,2
53798465,1
60781799,1
94752419,1
60425470,1
96410589,3
41224708,1
74972878,1
50824748,1
94524482,2
32635033,2
92183172,2
28323092,1
86372652,1
19585428,1
42025914,1
85872241,1
16826564,1
80812644,1
64063500,1
39990516,1
71506176,1
70061836,1
25308221,2
75655661,2
41754532,1
87457897,1
33332229,2
43160739,1
76748822,3
35120015,1
40281701,1
27470890,1
18603967,1
65425620,1
42460243,1
2260132,1
20252884,1
15834405,1
90882609,1
76274266,2
13465422,1
4154680,1
4039529,1
6464114,2
21522961,2
25365627,3
22773391,1
14737797,1
39495485,2
69167054,1
46999433,3
23730056,1
65593958,2
1794817,1
568595,1
25540175,1
84281735,1
43117940,3
61747940,1
83033730,1
50132508,2
91149643,1
22294408,1
83629935,1
90562901,1
23362123,1
25574994,1
96601070,2
9849013,2
61268622,1
71369022,1
56819796,1
44480838,1
46997829,1
19493041,2
44705080,1
68317504,1
99142742,1
10932581,2
34186149,1
14986967,1
75352672,1
73587761,2
24225853,1
31053495,1
7544562,1
84009718,1
12848784,3
22206000,1
71645476,2
63933616,2
98523961,1
48949293,1
54039707,1
74268516,1
61747586,3
73468379,3
11357536,1
57315445,1
98107193,3
36317156,3
87140045,1
3858417,1
3484037,1
22152722,1
57476767,2
76342541,3
45672997,2
56546990,2
95346355,3
33870599,2
48651179,1
66744667,1
33429510,2
29185964,2
22782756,2
93139781,1
40786744,2
6137983,1
44476577,1
451424,1
36633039,3
59841829,1
86808792,1
44607177,1
94259414,1
93524061,1
40513594,3
97015202,1
94354381,3
49608182,1
12910803,1
7510007,1
81843718,1
2368054,1
38850660,2
86780562,1
80159546,3
31891030,2
65616811,1
50402056,1
60253225,1
58193137,2
10638256,1
89721533,2
39259056,1
81117513,1
62838233,1
16279861,2
81200609,2
67118671,1
49644870,3
50082265,1
20794778,1
73042352,1
18409964,1
70788551,2
42004070,1
34115215,1
84539295,2
60111231,1
56321763,1
17905639,1
52664408,1
98921286,1
46096867,1
51499029,1
9425826,1
61763538,1
68767075,2
24065252,3
56151689,1
95687144,1
51881559,1
32939582,1
269319,1
87676829,1
77358652,1
92544167,3
87927325,1
38001139,1
4542842,3
70512641,1
52717568,1
67352978,2
4734692,1
83194140,1
93223407,2
65758952,1
91585570,1
59665742,1
17786035,1
74306619,1
44014777,1
88020741,1
56480485,1
36492621,1
72255960,2
96786267,1
36743163,1
61808366,1
4084643,1
55305311,1
6656692,1
35268612,1
30099568,1
49913126,2
81650927,1
47515896,2
21898328,1
73043218,1
65630542,1
63409154,3
25080457,3
19836054,1
83975325,2
15293012,1
78131327,1
38344172,1
15136951,3
95066467,2
69364978,1
83076151,3
45815750,1
28146454,1
35190891,1
46923817,1
9659883,1
19358187,1
45244301,1
7243540,1
37331725,2
43649142,1
67311265,3
97787496,3
68829691,1
14898599,1
2208574,1
85411428,1
92473170,1
24920269,1
82468346,1
61464854,1
64260613,1
58562037,1
47934607,1
18473518,2
6174918,1
92692764,1
28515154,2
50675442,1
53261183,2
62286239,2
6723048,1
11135004,1
93506333,1
12386368,2
3680052,1
63716527,2
12431258,2
12946891,3
38282546,2
19585385,2
61708136,1
36684071,1
92236537,3
7934880,1
52580122,2
33053296,1
26818960,1
80423078,1
4535931,1
48747739,1
43683213,1
5025557,3
53985327,1
92923307,1
88450074,3
72110617,1
97619755,1
9236843,1
47095080,3
87587990,1
82451090,1
25553539,3
60362942,1
35025933,2
46262420,1
54353311,1
45625478,1
22498134,1
38550520,1
59567899,1
85263081,2
86272483,2
77150487,1
2718958,1
86529128,1
63593222,1
97907044,3
57117704,1
34139728,1
69755703,1
50295425,1
489569,1
20460868,1
