Reservation-id,Reservation_Status
62931593,1
70586099,1
4230648,1
25192322,2
80931528,1
64700386,1
16938050,2
90487908,1
5595445,1
17502557,2
92229895,1
27386334,1
76765181,2
40697301,1
63963888,1
27282946,1
8696141,1
52621292,1
21821230,2
12316731,1
93926052,1
5935873,1
56971851,1
72701445,1
27017349,1
60891446,3
27044174,1
88238517,1
61900789,2
64883577,1
55378041,2
53798465,3
60781799,2
94752419,1
60425470,1
96410589,1
41224708,1
74972878,1
50824748,1
94524482,1
32635033,2
92183172,1
28323092,1
86372652,3
19585428,3
42025914,1
85872241,2
16826564,1
80812644,1
64063500,1
39990516,1
71506176,1
70061836,2
25308221,1
75655661,1
41754532,1
87457897,1
33332229,3
43160739,2
76748822,3
35120015,1
40281701,2
27470890,3
18603967,1
65425620,1
42460243,3
2260132,1
20252884,1
15834405,1
90882609,3
76274266,2
13465422,1
4154680,1
4039529,1
6464114,2
21522961,1
25365627,1
22773391,1
14737797,1
39495485,2
69167054,1
46999433,1
23730056,1
65593958,1
1794817,2
568595,1
25540175,2
84281735,1
43117940,1
61747940,1
83033730,3
50132508,3
91149643,1
22294408,1
83629935,1
90562901,1
23362123,1
25574994,1
96601070,2
9849013,2
61268622,1
71369022,1
56819796,2
44480838,1
46997829,1
19493041,2
44705080,1
68317504,2
99142742,1
10932581,1
34186149,1
14986967,2
75352672,2
73587761,2
24225853,3
31053495,2
7544562,1
84009718,1
12848784,1
22206000,1
71645476,1
63933616,2
98523961,1
48949293,2
54039707,1
74268516,1
61747586,3
73468379,2
11357536,2
57315445,1
98107193,2
36317156,1
87140045,2
3858417,1
3484037,2
22152722,2
57476767,2
76342541,1
45672997,1
56546990,2
95346355,1
33870599,1
48651179,1
66744667,1
33429510,2
29185964,1
22782756,1
93139781,1
40786744,1
6137983,2
44476577,1
451424,1
36633039,2
59841829,1
86808792,1
44607177,2
94259414,2
93524061,1
40513594,1
97015202,1
94354381,2
49608182,1
12910803,2
7510007,2
81843718,1
2368054,1
38850660,2
86780562,2
80159546,2
31891030,2
65616811,1
50402056,3
60253225,1
58193137,1
10638256,1
89721533,1
39259056,1
81117513,1
62838233,1
16279861,2
81200609,2
67118671,3
49644870,1
